Abandon,Leave permanently
Abase,To humiliate or degrade
Abashed,Embarrassed or ashamed
Abate,Become less severe or widespread
Abbreviate,Shorten a word or phrase
Abdicate,To give up the throne
Aberration,Deviation from what is normal or acceptable
Abet,Encourage or help in wrong doing
Abeyance,In temporary disuse or suspension
Abhor,hate
Abject,miserable
Abjure,claim
Abide,Accept or Obey a rule or decision
Abominate,To detest
Abridge,Shorten a text or film
Absolve,Clear of guilt or blame
Abstruse,Hard to understand
Abysmal,Very bad
Abyss,A very deep hole
Accede,Agree to a request or demand
Accentuate,Make more
Acclimatize,Thing given as a special honor or reward
Accomplice,A person who helps another commit a crime
Accost,Approach and speak to
Accoutrement,An extra item or dress or equipment
Accredited,officially authorized
Acerbic,Sharp and direct
Acquaint,to make familiar with
Acquit,behave in a particular way
Acrid,bitter
Acrimony,Angry and bitter
Acronym,A word formed from the first letters of other words
Acumen,Keenness of mind
Adage,an old saying
Adamant,Refusing to change one's mind
Addendum,A section added to a book
Addled,muddled
Ad hoc,specially arranged for a purpose
Ad infinitum,for ever
Adjure,to ask earnestly to appeal vehemently
Advent,coming
Ad-lib,improvise
Admonish,reprove firmly
Ado,fuss
Adroit,skillful
Adulation, servile flattery
Adversity, troubled state
Aegis, shield
Affable,pleasant
Affectation,Artificial or pretentious behavior
Affirm, to confirm
Affront, offend
Afoot,Going on
Agile,agility
Alacrity,willingness
Albeit,although
Algorithm,a special way of solving mathematical problem.
Alienate,Cause to make unfriendly
Allay,quieten
Allegiance,devotion (to duty, country)
Alleviate,to lessen or relieve
Allocate,to set apart for a specific purpose
Allude,To refer to briefly or indirectly
Altercation,An angry or heated argument
Ambidextrous,with equal ease
Ambiguous,having more than one meaning
Ambivalence,mixed feelings
Amiable,good natured
Amicable,Friendly
Anagram,A word or a phrase formed by rearranging the letters of another
Analogy,a partial similarity
Anathema,anything greatly detested
Anecdote,entertaining true story
Animosity,Feeling of hatred or dislike
Anomaly,departure from the usual
Antagonism,opposition
Antecedent,That which goes before something else, previous
Antipathy,Strong dislike
Apathy,lack of emotion
Aplomb,poise
Appendage,A thing attached to something larger or more important
Apposite,fitting
Appraise,evaluate
Apprise,notify
Apropos,in connection with
Archetype,an original model
Archives,A collection of historical documents or records
Ardent,passionate
Articulate,speak or express distinctly or clearly
Artifice,especially used to deceive
Askance,disapproving look
Aspersion,critical remarks
Assiduous,showing great care and thoroughness
Assuage,satisfy a desire
Astute,crafty
Asunder,Literally apart
Atone,Make amends for
Attenuate,to lessen
Attrition,wearing away by or as by friction
Atypical,Not typical
Audacious,daring
Augment,to make large in number
Avarice,greed for money
Aver,To declare to be true, to assert, to declare to be the case
Axiom,A statement universally accepted as true
Apprehend,arrest
Apostrophe,Used to indicate either possession or the omission of letters or numbers
Avuncular,Kind and friendly towards an younger person
Awry,Away from the expected course or position
Babble,Talk rapidly in a foolish or confused way
Backlog,an accumulation or reserve
Badger,pester
Baleful,harmful
Banal,commonplace
Banter,friendly teasing
Baritone,A man's singing voice between tenor and bass
Barrage,heavy attack
Bashful,easily embarrassed
Baulk,thwart or hinder
Bawdy,obscene
Beacon,a light acting as a signal for ships or aircraft
Bedlam,any place or situation of noise and confusion
Befuddled,muddled
Begrudge,feel envious that someone possesses something
Beguile,to delight
Behest,a command or earnest request
Beleaguer,annoy persistently
Benevolent,well meaning and kindly
Benign,good natured
Bequeath,leave property to someone by will
Berate,to scold angrily
Bereave,as by death
Bereft,lonely and abandoned
Berserk,In or into a violent rage or frenzy
Besiege,surround a place with armed forces
Besmirch,to damage one's reputation
Bibliography,list of books in a particular subject
Bibliophile,A person who loves to collect books
Bigot,one who holds blindly and intolerantly to a particular opinion
Bionic,electronically powerful
Bizarre,odd
Blandish,to flatter
Blase,bored
Blasphemy,speak irreverently
Blatant,Boldly conspicuous or obtrusive
Bleary,dim or blurred
Blemish,a defect
Blend,merge well
Bogus,fake
Boisterous,lively and high spirited
Bolster,Support or strengthen
Braggart,A boastful person
Brainchild,A particular persons idea or invention
Brandish,Wave something as a threat or on anger or excitement
Bravo,exclamation
Bravura,Great skill and enthusiasm
Breach,gap
Brevity, briefness
Broach, to start a discussion of
Browbeat,To intimidate
Brusque, offhand
Bucolic,of country life
Bugbear,Something causing irritation or anxiety source of annoyance or fear
Buoyant,Able to float cheerful
Bureaucrat,one who follows guidelines rigidly
Burly,Large and strong (of a man)
Bustle,excited activity
Bygone,Belonging to the past
Byword,a saying
Caboodle,A whole group
Cacophony,Harsh mixture of sounds
Cagey,cautiously reluctant to speak
Cajole,Persuade by using flattery
Calamity,A sudden disastrous event
Calibrate,Check the accuracy of an instrument by comparing the readings with those of a standard
Caliber,Quality or ability
Callous,Insensitive and cruel
Callow,Immature inexperienced
Camaraderie,Trust and friendship
Camouflage,A disguise to conceal
Candid,Truthful and straightforward
Candour,frankness
Canny,Shrewd
Cantankerous,Bad tempered and uncooperative
Capacious,Roomy
Capitalize,Take advantage of convert into or provide with financial capital
Capitulate,surrender
Capricious,Prone to sudden changes of behavior
Captious,Prone to petty fault finding
Captivate,Attract and hold the interest
Careerist,A person intent in progressing in their career
Cardinal,Principal
Carp,Complain continuously
Castigate,Reprimand severely
Cataclysm,A violent upheaval or disaster
Catapult,Throw forcefully
Catastrophe,A sudden great disaster
Catchy,easy to remember
Categorical,Completely clear and direct
Catharsis,The release of pent up emotions
